iter	Passed	Remaining
0	63	63560
1	64	32019
2	64	21495
3	65	16232
4	65	13126
5	66	11004
6	66	9494
7	67	8360
8	67	7477
9	68	6762
10	68	6178
11	69	5690
12	69	5278
13	70	4930
14	71	4665
15	71	4395
16	71	4157
17	72	3945
18	72	3755
19	73	3586
20	73	3438
21	74	3298
22	74	3171
23	75	3052
24	75	2942
25	75	2841
26	76	2749
27	76	2662
28	77	2581
29	77	2508
30	78	2445
31	78	2380
32	79	2326
33	79	2268
34	80	2216
35	81	2174
36	81	2126
37	82	2081
38	82	2038
39	83	1995
40	83	1958
41	84	1919
42	84	1884
43	85	1851
44	85	1819
45	86	1786
46	86	1756
47	87	1726
48	87	1698
49	88	1674
50	88	1647
51	89	1623
52	89	1602
53	90	1578
54	90	1557
55	91	1536
56	91	1516
57	92	1496
58	92	1477
59	93	1462
60	94	1448
61	94	1433
62	95	1416
63	95	1399
64	96	1390
65	97	1375
66	97	1360
67	98	1347
68	98	1332
69	99	1318
70	99	1304
71	100	1291
72	100	1278
73	101	1265
74	101	1252
75	102	1240
76	102	1228
77	103	1217
78	103	1206
79	103	1195
80	104	1186
81	105	1176
82	105	1163
83	105	1153
84	106	1144
85	106	1134
86	107	1125
87	107	1116
88	108	1107
89	108	1099
90	109	1091
91	110	1089
92	110	1081
93	111	1075
94	112	1068
95	113	1068
96	113	1060
97	114	1052
98	114	1045
99	115	1037
100	115	1030
101	116	1023
102	116	1015
103	117	1009
104	117	1002
105	118	996
106	118	989
107	119	984
108	119	978
109	120	972
110	120	966
111	121	960
112	121	955
113	122	949
114	122	944
115	123	940
116	123	934
117	124	929
118	124	924
119	125	919
120	125	914
121	126	908
122	127	905
123	127	901
124	128	896
125	128	892
126	128	886
127	129	881
128	129	877
129	130	873
130	130	868
131	131	864
132	131	859
133	132	854
134	132	850
135	133	845
136	133	841
137	133	836
138	134	833
139	135	829
140	135	825
141	135	820
142	136	815
143	136	812
144	137	808
145	137	804
146	138	800
147	138	797
148	138	793
149	139	790
150	140	787
151	140	784
152	141	781
153	141	778
154	142	776
155	142	773
156	143	770
157	143	767
158	144	764
159	145	761
160	145	757
161	145	754
162	146	751
163	146	747
164	147	746
165	148	744
166	148	742
167	149	739
168	149	736
169	150	733
170	150	731
171	151	728
172	151	726
173	152	723
174	152	720
175	153	717
176	153	715
177	154	712
178	154	710
179	155	708
180	156	705
181	156	704
182	157	701
183	158	700
184	158	698
185	159	696
186	159	693
187	160	691
188	160	689
189	161	687
190	161	685
191	162	682
192	162	680
193	163	677
194	163	675
195	164	673
196	164	670
197	165	668
198	165	666
199	166	664
200	166	661
201	166	659
202	167	657
203	168	655
204	168	653
205	169	651
206	169	649
207	170	648
208	171	647
209	171	645
210	172	643
211	172	641
212	173	640
213	173	638
214	174	636
215	174	634
216	175	632
217	175	630
218	176	628
219	176	626
220	177	624
221	177	622
222	178	620
223	178	618
224	179	616
225	179	614
226	179	612
227	180	610
228	180	609
229	181	607
230	181	605
231	182	603
232	182	601
233	183	599
234	183	598
235	184	596
236	184	594
237	185	594
238	186	592
239	186	590
240	187	589
241	187	588
242	188	587
243	189	585
244	189	584
245	189	582
246	190	580
247	190	578
248	191	577
249	192	576
250	192	574
251	192	572
252	193	571
253	193	569
254	194	567
255	194	566
256	195	565
257	196	563
258	196	562
259	197	560
260	197	559
261	198	557
262	198	556
263	198	554
264	199	553
265	199	551
266	200	550
267	201	549
268	201	548
269	202	546
270	202	545
271	203	544
272	204	543
273	204	542
274	205	541
275	205	539
276	206	538
277	206	536
278	207	535
279	207	534
280	208	532
281	208	531
282	209	529
283	209	528
284	209	526
285	210	525
286	210	523
287	211	522
288	211	521
289	212	519
290	212	518
291	213	516
292	213	515
293	214	514
294	214	513
295	215	512
296	216	511
297	216	510
298	217	509
299	217	507
300	218	506
301	218	505
302	219	504
303	219	503
304	220	501
305	220	500
306	221	499
307	221	498
308	222	496
309	222	495
310	223	494
311	223	493
312	224	491
313	224	490
314	224	489
315	225	489
316	226	488
317	227	486
318	227	485
319	227	484
320	228	483
321	228	481
322	229	480
323	229	479
324	230	478
325	230	477
326	231	476
327	231	475
328	232	474
329	233	473
330	233	472
331	234	471
332	234	469
333	235	469
334	235	468
335	236	467
336	236	466
337	237	465
338	238	464
339	238	463
340	238	461
341	239	460
342	239	459
343	240	458
344	240	457
345	241	456
346	241	455
347	242	454
348	242	453
349	243	452
350	243	450
351	244	449
352	244	448
353	245	447
354	245	446
355	246	445
356	246	444
357	247	443
358	247	442
359	248	441
360	249	440
361	249	440
362	250	439
363	250	438
364	251	437
365	251	435
366	252	434
367	252	433
368	253	432
369	253	431
370	253	430
371	254	429
372	254	428
373	255	427
374	255	426
375	256	425
376	256	424
377	257	423
378	257	422
379	258	421
380	258	420
381	259	419
382	259	418
383	260	417
384	260	416
385	261	415
386	261	414
387	262	413
388	262	413
389	263	412
390	263	411
391	264	410
392	265	409
393	265	408
394	266	407
395	266	406
396	267	406
397	267	405
398	268	404
399	268	403
400	269	402
401	269	400
402	269	399
403	270	398
404	270	398
405	271	397
